Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;;2011M03;100
Total Nacional;;Viajero;Total Nacional;;2011M02;100
Total Nacional;;Viajero;Total Nacional;;2011M01;100
Total Nacional;;Viajero;Total Nacional;;2010M12;100
Total Nacional;;Viajero;Total Nacional;;2010M11;100
Total Nacional;;Viajero;Total Nacional;;2010M10;100
Total Nacional;;Viajero;Total Nacional;;2010M09;100
Total Nacional;;Viajero;Total Nacional;;2010M08;100
Total Nacional;;Viajero;Total Nacional;;2010M07;100
Total Nacional;;Viajero;Total Nacional;;2010M06;100
Total Nacional;;Viajero;Total Nacional;;2010M05;100
Total Nacional;;Viajero;Total Nacional;;2010M04;100
Total Nacional;;Viajero;Total Nacional;;2010M03;100
Total Nacional;;Viajero;Total Nacional;;2010M02;100
Total Nacional;;Viajero;Total Nacional;;2010M01;100
Total Nacional;;Viajero;Total Nacional;;2009M12;100
Total Nacional;;Viajero;Total Nacional;;2009M11;100
Total Nacional;;Viajero;Total Nacional;;2009M10;100
Total Nacional;;Viajero;Total Nacional;;2009M09;100
Total Nacional;;Viajero;Total Nacional;;2009M08;100
Total Nacional;;Viajero;Total Nacional;;2009M07;100
Total Nacional;;Viajero;Total Nacional;;2009M06;100
Total Nacional;;Viajero;Total Nacional;;2009M05;100
Total Nacional;;Viajero;Total Nacional;;2009M04;100
Total Nacional;;Viajero;Total Nacional;;2009M03;100
Total Nacional;;Viajero;Total Nacional;;2009M02;100
Total Nacional;;Viajero;Total Nacional;;2009M01;100
Total Nacional;;Viajero;Total Nacional;;2008M12;100
Total Nacional;;Viajero;Total Nacional;;2008M11;100
Total Nacional;;Viajero;Total Nacional;;2008M10;100
Total Nacional;;Viajero;Total Nacional;;2008M09;100
Total Nacional;;Viajero;Total Nacional;;2008M08;100
Total Nacional;;Viajero;Total Nacional;;2008M07;100
Total Nacional;;Viajero;Total Nacional;;2008M06;100
Total Nacional;;Viajero;Total Nacional;;2008M05;100
Total Nacional;;Viajero;Total Nacional;;2008M04;100
Total Nacional;;Viajero;Total Nacional;;2008M03;100
Total Nacional;;Viajero;Total Nacional;;2008M02;100
Total Nacional;;Viajero;Total Nacional;;2008M01;100
Total Nacional;;Viajero;Total Nacional;;2007M12;100
Total Nacional;;Viajero;Total Nacional;;2007M11;100
Total Nacional;;Viajero;Total Nacional;;2007M10;100
Total Nacional;;Viajero;Total Nacional;;2007M09;100
Total Nacional;;Viajero;Total Nacional;;2007M08;100
Total Nacional;;Viajero;Total Nacional;;2007M07;100
Total Nacional;;Viajero;Total Nacional;;2007M06;100
Total Nacional;;Viajero;Total Nacional;;2007M05;100
Total Nacional;;Viajero;Total Nacional;;2007M04;100
Total Nacional;;Viajero;Total Nacional;;2007M03;100
Total Nacional;;Viajero;Total Nacional;;2007M02;100
Total Nacional;;Viajero;Total Nacional;;2007M01;100
Total Nacional;;Viajero;Total Nacional;;2006M12;100
Total Nacional;;Viajero;Total Nacional;;2006M11;100
Total Nacional;;Viajero;Total Nacional;;2006M10;100
Total Nacional;;Viajero;Total Nacional;;2006M09;100
Total Nacional;;Viajero;Total Nacional;;2006M08;100
Total Nacional;;Viajero;Total Nacional;;2006M07;100
Total Nacional;;Viajero;Total Nacional;;2006M06;100
Total Nacional;;Viajero;Total Nacional;;2006M05;100
Total Nacional;;Viajero;Total Nacional;;2006M04;100
Total Nacional;;Viajero;Total Nacional;;2006M03;100
Total Nacional;;Viajero;Total Nacional;;2006M02;100
Total Nacional;;Viajero;Total Nacional;;2006M01;100
Total Nacional;;Viajero;Total Nacional;;2005M12;100
Total Nacional;;Viajero;Total Nacional;;2005M11;100
Total Nacional;;Viajero;Total Nacional;;2005M10;100
Total Nacional;;Viajero;Total Nacional;;2005M09;100
Total Nacional;;Viajero;Total Nacional;;2005M08;100
Total Nacional;;Viajero;Total Nacional;;2005M07;100
Total Nacional;;Viajero;Total Nacional;;2005M06;100
Total Nacional;;Viajero;Total Nacional;;2005M05;100
Total Nacional;;Viajero;Total Nacional;;2005M04;100
Total Nacional;;Viajero;Total Nacional;;2005M03;100
Total Nacional;;Viajero;Total Nacional;;2005M02;100
Total Nacional;;Viajero;Total Nacional;;2005M01;100
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M06;9,21
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M05;8,02
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M04;8,48
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M03;9,8
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M02;12,34
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2026M01;11,62
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M12;10,78
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M11;10,1
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M10;8,88
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M09;9,99
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M08;11,32
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M07;10,97
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M06;8,91
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M05;7,73
