Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2012M01;3,02
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M12;2,25
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M11;0,98
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M10;2,78
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M09;1,4
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M08;5,35
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M07;3,65
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M06;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M05;1,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M04;3,63
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M03;0,56
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M02;1,92
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2011M01;1,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M12;2,18
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M11;0,81
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M10;2,07
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M09;3,87
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M08;8,7
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M07;2,97
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M06;1,76
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M05;1,38
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M04;2,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M03;1,44
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M02;0,5
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2010M01;2,02
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M12;1,96
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M11;0,84
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M10;3,21
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M09;3,69
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M08;9,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M07;4,31
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M06;1,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M05;1,84
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M04;4,43
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M03;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M02;3,12
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2009M01;4,69
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M12;1,81
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M11;1,52
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M10;3,62
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M09;3,66
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M08;9,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M07;4,86
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M06;3,29
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M05;1,72
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M04;1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M03;6,7
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M02;1,21
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2008M01;1,56
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M12;2,47
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M11;1,48
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M10;2,19
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M09;4,03
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M08;12,2
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M07;4,04
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M06;1,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M05;1,66
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M04;3,77
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M03;1,39
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M02;0,99
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2007M01;1,27
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M12;3,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M11;1,07
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M10;2,76
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M09;3,28
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M08;11
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M07;4,56
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M06;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M05;1,11
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M04;3,82
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M03;0,83
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M02;1,66
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2006M01;0,72
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M12;3,46
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M11;1,46
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M10;3,68
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M09;4,2
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M08;12,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M07;5,79
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M06;1,42
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M05;1,27
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M04;0,87
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M03;3,16
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M02;1,22
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;2005M01;3,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M06;1,92
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M05;2,52
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M04;3,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M03;4,07
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M02;5,25
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2026M01;2,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M12;1,83
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M11;2,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M10;2,56
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M09;3,99
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M08;2,43
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M07;2,6
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M06;2,28
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M05;2,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M04;2,96
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M03;3,2
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M02;4,48
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2025M01;4,48
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M12;2,45
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M11;2,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M10;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M09;1,57
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M08;1,02
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M07;1,75
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M06;2,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M05;1,25
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M04;1,79
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M03;1,99
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M02;3,06
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2024M01;3,5
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M12;1,98
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M11;2,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M10;1,63
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M09;1,8
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M08;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M07;2,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M06;2,02
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M05;2,03
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M04;1,97
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M03;3,34
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M02;3,14
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2023M01;2,19
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M12;1,41
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M11;2,04
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M10;2,2
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M09;1,84
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M08;1,79
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M07;2,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M06;1,96
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M05;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M04;1,89
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M03;2,7
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M02;3,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2022M01;4,13
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M12;2,79
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M11;2,71
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M10;2,37
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M09;2,19
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M08;1,48
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M07;1,43
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M06;1,54
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M05;2,05
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M04;1,2
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M03;1,94
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M02;5,22
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2021M01;4,61
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M12;2,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M11;2,34
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M10;1,87
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M09;1,75
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M08;1,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M07;2,06
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M06;2,83
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M05;6,71
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M04;..
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M03;3,01
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M02;3,66
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2020M01;4,21
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M12;2,12
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M11;2,35
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M10;1,47
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M09;1,86
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M08;1,49
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M07;2,25
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M06;1,49
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M05;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M04;2,46
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M03;3,47
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M02;4,68
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2019M01;3,61
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M12;2,7
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M11;2,1
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M10;2,37
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M09;1,55
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M08;1,36
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M07;2,65
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M06;1,64
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M05;1,89
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M04;1,89
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M03;3,23
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M02;6,05
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2018M01;3,96
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M12;2,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M11;1,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M10;1,51
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M09;2,28
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M08;1,44
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M07;2,13
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M06;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M05;1,01
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M04;1,5
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M03;3,25
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M02;4
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2017M01;2,81
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M12;2,97
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M11;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M10;1,82
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M09;1,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M08;1,36
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M07;2,13
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M06;1,22
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M05;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M04;1,95
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M03;2,03
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M02;3,86
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2016M01;3,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M12;1,59
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M11;1,43
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M10;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M09;2,45
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M08;1,27
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M07;2,87
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M06;1,74
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M05;1,38
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M04;1,93
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M03;1,71
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M02;5,81
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2015M01;4,4
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M12;1,53
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M11;1,35
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M10;1,49
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M09;2,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M08;0,99
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M07;0,83
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M06;1,07
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M05;0,83
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M04;1,14
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M03;2,19
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M02;4,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2014M01;3,01
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M12;1,42
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M11;0,97
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M10;1,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M09;1,8
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M08;1,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M07;1,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M06;1,33
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M05;1,28
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M04;1,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M03;2,05
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M02;3,72
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2013M01;1,27
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M12;2,79
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M11;1,92
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M10;1,78
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M09;2,11
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M08;1,01
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M07;1,96
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M06;0,87
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M05;0,55
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M04;0,63
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M03;1,85
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M02;4,13
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2012M01;1,15
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M12;1,32
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M11;0,62
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M10;1,41
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M09;2,71
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M08;2,16
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M07;3,3
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M06;0,47
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M05;2,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M04;1,12
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M03;4,06
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M02;2,08
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2011M01;1,59
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2010M12;2,73
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2010M11;1,81
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2010M10;1,98
Total Nacional;07 Castilla y León;Pernoctaciones;Total Nacional;11 Extremadura;2010M09;2,03
