Provincias de destino;Procedencia de los viajeros;Meses;Total
05 Ávila;Total;Enero;9.083
05 Ávila;Total;Febrero;17.545
05 Ávila;Total;Marzo;28.590
05 Ávila;Total;Abril;17.741
05 Ávila;Total;Mayo;23.775
05 Ávila;Total;Junio;24.461
05 Ávila;Total;Julio;43.665
05 Ávila;Total;Agosto;52.801
05 Ávila;Total;Septiembre;24.125
05 Ávila;Total;Octubre;23.188
05 Ávila;Total;Noviembre;22.537
05 Ávila;Total;Diciembre;28.991
05 Ávila;Residentes en España;Total;302.288
05 Ávila;Residentes en España;Enero;8.652
05 Ávila;Residentes en España;Febrero;13.362
05 Ávila;Residentes en España;Marzo;26.370
05 Ávila;Residentes en España;Abril;17.113
05 Ávila;Residentes en España;Mayo;22.793
05 Ávila;Residentes en España;Junio;24.039
05 Ávila;Residentes en España;Julio;42.025
05 Ávila;Residentes en España;Agosto;50.927
05 Ávila;Residentes en España;Septiembre;23.725
05 Ávila;Residentes en España;Octubre;22.106
05 Ávila;Residentes en España;Noviembre;22.258
05 Ávila;Residentes en España;Diciembre;28.917
05 Ávila;No residentes en España;Total;14.214
05 Ávila;No residentes en España;Enero;431
05 Ávila;No residentes en España;Febrero;4.183
05 Ávila;No residentes en España;Marzo;2.220
05 Ávila;No residentes en España;Abril;628
05 Ávila;No residentes en España;Mayo;982
05 Ávila;No residentes en España;Junio;421
05 Ávila;No residentes en España;Julio;1.640
05 Ávila;No residentes en España;Agosto;1.874
05 Ávila;No residentes en España;Septiembre;400
05 Ávila;No residentes en España;Octubre;1.081
05 Ávila;No residentes en España;Noviembre;279
05 Ávila;No residentes en España;Diciembre;74
06 Badajoz;Total;Total;142.784
06 Badajoz;Total;Enero;5.928
06 Badajoz;Total;Febrero;7.021
06 Badajoz;Total;Marzo;12.827
06 Badajoz;Total;Abril;10.017
06 Badajoz;Total;Mayo;11.078
06 Badajoz;Total;Junio;10.822
06 Badajoz;Total;Julio;15.200
06 Badajoz;Total;Agosto;22.423
06 Badajoz;Total;Septiembre;12.286
