Provincias de destino;Procedencia de los viajeros;Meses;Total
Balears, Illes;Residentes en España;Enero;4.499
Balears, Illes;Residentes en España;Febrero;5.524
Balears, Illes;Residentes en España;Marzo;6.275
Balears, Illes;Residentes en España;Abril;5.528
Balears, Illes;Residentes en España;Mayo;7.661
Balears, Illes;Residentes en España;Junio;9.824
Balears, Illes;Residentes en España;Julio;10.005
Balears, Illes;Residentes en España;Agosto;12.132
Balears, Illes;Residentes en España;Septiembre;10.589
Balears, Illes;Residentes en España;Octubre;6.693
Balears, Illes;Residentes en España;Noviembre;6.397
Balears, Illes;Residentes en España;Diciembre;5.809
Balears, Illes;No Residentes;Total;453.039
Balears, Illes;No Residentes;Enero;4.240
Balears, Illes;No Residentes;Febrero;7.230
Balears, Illes;No Residentes;Marzo;20.880
Balears, Illes;No Residentes;Abril;41.711
Balears, Illes;No Residentes;Mayo;56.476
Balears, Illes;No Residentes;Junio;56.854
Balears, Illes;No Residentes;Julio;65.192
Balears, Illes;No Residentes;Agosto;65.657
Balears, Illes;No Residentes;Septiembre;64.038
Balears, Illes;No Residentes;Octubre;54.482
Balears, Illes;No Residentes;Noviembre;8.894
Balears, Illes;No Residentes;Diciembre;7.384
Barcelona;Total;Total;168.222
Barcelona;Total;Enero;6.710
Barcelona;Total;Febrero;10.180
Barcelona;Total;Marzo;13.346
Barcelona;Total;Abril;12.275
Barcelona;Total;Mayo;15.421
Barcelona;Total;Junio;17.343
Barcelona;Total;Julio;15.106
Barcelona;Total;Agosto;17.705
Barcelona;Total;Septiembre;16.239
Barcelona;Total;Octubre;16.852
Barcelona;Total;Noviembre;13.464
Barcelona;Total;Diciembre;13.582
Barcelona;Residentes en España;Total;139.207
Barcelona;Residentes en España;Enero;6.463
Barcelona;Residentes en España;Febrero;9.635
Barcelona;Residentes en España;Marzo;12.691
Barcelona;Residentes en España;Abril;9.714
Barcelona;Residentes en España;Mayo;12.123
Barcelona;Residentes en España;Junio;14.687
Barcelona;Residentes en España;Julio;10.462
Barcelona;Residentes en España;Agosto;11.918
Barcelona;Residentes en España;Septiembre;12.982
Barcelona;Residentes en España;Octubre;14.144
Barcelona;Residentes en España;Noviembre;11.741
Barcelona;Residentes en España;Diciembre;12.646
Barcelona;No Residentes;Total;29.016
Barcelona;No Residentes;Enero;247
Barcelona;No Residentes;Febrero;544
Barcelona;No Residentes;Marzo;655
Barcelona;No Residentes;Abril;2.561
Barcelona;No Residentes;Mayo;3.298
Barcelona;No Residentes;Junio;2.656
Barcelona;No Residentes;Julio;4.644
Barcelona;No Residentes;Agosto;5.787
Barcelona;No Residentes;Septiembre;3.257
Barcelona;No Residentes;Octubre;2.707
Barcelona;No Residentes;Noviembre;1.724
Barcelona;No Residentes;Diciembre;936
Bizkaia;Total;Total;51.169
Bizkaia;Total;Enero;1.782
Bizkaia;Total;Febrero;2.105
Bizkaia;Total;Marzo;3.852
Bizkaia;Total;Abril;3.272
Bizkaia;Total;Mayo;5.174
Bizkaia;Total;Junio;5.535
Bizkaia;Total;Julio;6.454
Bizkaia;Total;Agosto;7.659
Bizkaia;Total;Septiembre;5.034
Bizkaia;Total;Octubre;4.588
Bizkaia;Total;Noviembre;2.921
Bizkaia;Total;Diciembre;2.793
Bizkaia;Residentes en España;Total;35.909
Bizkaia;Residentes en España;Enero;1.610
Bizkaia;Residentes en España;Febrero;1.781
Bizkaia;Residentes en España;Marzo;3.282
Bizkaia;Residentes en España;Abril;2.375
